sequence_id	SRR35809155_ctg108|provirus_3612395_3652025	SRR35808611_ctg442|provirus_3721232_3760862	SRR35809332_ctg1415|provirus_2633736_2673366	SRR35808553_ctg921|provirus_1054300_1093930
SRR35809155_ctg108|provirus_3612395_3652025	1.0	1.0	1.0	1.0
SRR35808611_ctg442|provirus_3721232_3760862	1.0	1.0	1.0	1.0
SRR35809332_ctg1415|provirus_2633736_2673366	1.0	1.0	1.0	1.0
SRR35808553_ctg921|provirus_1054300_1093930	1.0	1.0	1.0	1.0
