gene	start	stop	strand	contig	score	partial	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
SRR35809155_ctg370|provirus_105204_146413_CDS_0001	402	1	-	SRR35809155_ctg370|provirus_105204_146413	22.7	00	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:Pyrodigal-gv:0.3.2	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SRR35809155_ctg370|provirus_105204_146413_CDS_0002	1045	500	-	SRR35809155_ctg370|provirus_105204_146413	80.6	00	315	133.0	0.456	6.121e-38	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	315	ab initio prediction:Pyrodigal-gv:0.3.2	CDS	#f35f49	endolysin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SRR35809155_ctg370|provirus_105204_146413_CDS_0003	1292	1074	-	SRR35809155_ctg370|provirus_105204_146413	23.2	00	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:Pyrodigal-gv:0.3.2	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SRR35809155_ctg370|provirus_105204_146413_CDS_0004	1561	1289	-	SRR35809155_ctg370|provirus_105204_146413	18.7	00	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:Pyrodigal-gv:0.3.2	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SRR35809155_ctg370|provirus_105204_146413_CDS_0005	1668	2732	+	SRR35809155_ctg370|provirus_105204_146413	132.3	00	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:Pyrodigal-gv:0.3.2	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SRR35809155_ctg370|provirus_105204_146413_CDS_0006	2944	2729	-	SRR35809155_ctg370|provirus_105204_146413	-0.8	00	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:Pyrodigal-gv:0.3.2	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SRR35809155_ctg370|provirus_105204_146413_CDS_0007	4896	2977	-	SRR35809155_ctg370|provirus_105204_146413	226.0	00	24210	64.0	0.474	2.605e-13	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	24210	ab initio prediction:Pyrodigal-gv:0.3.2	CDS	#07e9a2	tail fiber protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SRR35809155_ctg370|provirus_105204_146413_CDS_0008	5279	4893	-	SRR35809155_ctg370|provirus_105204_146413	61.1	00	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:Pyrodigal-gv:0.3.2	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SRR35809155_ctg370|provirus_105204_146413_CDS_0009	5335	5502	+	SRR35809155_ctg370|provirus_105204_146413	5.5	00	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:Pyrodigal-gv:0.3.2	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SRR35809155_ctg370|provirus_105204_146413_CDS_0010	8190	5488	-	SRR35809155_ctg370|provirus_105204_146413	234.8	00	873	104.0	0.49	8.770999999999999e-29	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	873	ab initio prediction:Pyrodigal-gv:0.3.2	CDS	#3e83f6	endolysin	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
