# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	1	582	+	HNGIBB_00001		(5' truncated) hypothetical protein	PFAM:PF00742.24, PFAM:PF01842.31
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	579	1532	+	HNGIBB_00002		fructose-bisphosphatase	SO:0001217, UniRef:UniRef50_A0A3M2E619
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	1611	1970	+	HNGIBB_00003		hypothetical protein	
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	2045	3844	+	HNGIBB_00004	recJ	Single-stranded-DNA-specific exonuclease RecJ	SO:0001217, UniRef:UniRef50_A0A2U2BVI3
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	3841	4050	-	HNGIBB_00005		hypothetical protein	
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	tRNA	4120	4194	+	HNGIBB_00006	trnE	tRNA-Glu(ttc)	SO:0000259
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	4247	4747	+	HNGIBB_00007		DUF192 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A7W9E670
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	tRNA	4795	4871	+	HNGIBB_00008	trnP	tRNA-Pro(tgg)	SO:0000268
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	5035	5364	-	HNGIBB_00009		hypothetical protein	
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	5425	5568	-	HNGIBB_00010		hypothetical protein	
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	5634	6839	-	HNGIBB_00011		Succinate--glutarate CoA-transferase	SO:0001217, UniRef:UniRef50_Q7CXU0
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	6895	7356	+	HNGIBB_00012		CENP-V/GFA domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1B1ADG7
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	tRNA	8156	8230	+	HNGIBB_00013	trnV	tRNA-Val(tac)	SO:0000273
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	8416	8955	+	HNGIBB_00014		hypothetical protein	
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	tRNA	9032	9108	+	HNGIBB_00015	trnD	tRNA-Asp(gtc)	SO:0000256
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	9136	10068	+	HNGIBB_00016		hypothetical protein	PFAM:PF13640.12
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	10203	12104	+	HNGIBB_00017		Sulfotransferase	SO:0001217, UniRef:UniRef50_A0A829YN23
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	12133	14556	+	HNGIBB_00018		hypothetical protein	PFAM:PF00593.30, PFAM:PF07715.20
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	14691	15068	+	HNGIBB_00019		NADH-quinone oxidoreductase subunit A	SO:0001217, UniRef:UniRef50_A0A0B4WYQ2
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	15073	15636	+	HNGIBB_00020		NADH-quinone oxidoreductase subunit 6	SO:0001217, UniRef:UniRef50_P29918
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	15633	16244	+	HNGIBB_00021		NADH-quinone oxidoreductase chain 5	SO:0001217, UniRef:UniRef50_P29917
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	16241	16681	+	HNGIBB_00022		hypothetical protein	
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	16674	17879	+	HNGIBB_00023		NADH-quinone oxidoreductase subunit D	SO:0001217, UniRef:UniRef50_A0A2D8B206
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	17889	18251	+	HNGIBB_00024		hypothetical protein	
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	18248	18580	+	HNGIBB_00025		hypothetical protein	PFAM:PF12680.13
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	18588	19241	+	HNGIBB_00026	nuoE	NADH-quinone oxidoreductase subunit NuoE	SO:0001217, UniRef:UniRef50_A0A4Y9RCM2
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	19241	19495	+	HNGIBB_00027		hypothetical protein	
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	19505	20815	+	HNGIBB_00028		NADH-quinone oxidoreductase subunit F 1	SO:0001217, UniRef:UniRef50_P56912
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	20812	21165	+	HNGIBB_00029		hypothetical protein	
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	21172	21477	+	HNGIBB_00030		hypothetical protein	PFAM:PF03795.20
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	21541	21696	-	HNGIBB_00031		hypothetical protein	
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	21939	24005	+	HNGIBB_00032		NADH-quinone oxidoreductase	SO:0001217, UniRef:UniRef50_A0A5P9GWC2
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	24002	25132	+	HNGIBB_00033		NADH-quinone oxidoreductase subunit H	SO:0001217, UniRef:UniRef50_A1B487
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	25136	25624	+	HNGIBB_00034		NADH-quinone oxidoreductase subunit I	SO:0001217, UniRef:UniRef50_A0A2G2GFH6
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	25693	26301	+	HNGIBB_00035		NADH-quinone oxidoreductase subunit J	SO:0001217, UniRef:UniRef50_A0A1M3NPF2
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	26301	26609	+	HNGIBB_00036		NADH-quinone oxidoreductase subunit K	SO:0001217, UniRef:UniRef50_P50940
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	26614	28665	+	HNGIBB_00037		NADH-ubiquinone oxidoreductase chain 5	SO:0001217, UniRef:UniRef50_A0A4S2HEW0
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	28662	30173	+	HNGIBB_00038		NADH-quinone oxidoreductase chain M (NADH dehydrogenase I, chain M) (NDH-1, chain M)	SO:0001217, UniRef:UniRef50_A0A1L9CUV4
