contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
SRR35808553_ctg1561	15576	No	NA	17	0	0	Low-quality	Genome-fragment	20.8	AAI-based (medium-confidence)	0.0	1.93	no viral genes detected; high kmer_freq may indicate large duplication; low-confidence DTR
SRR35808553_ctg2334	30227	No	NA	46	2	0	Low-quality	Genome-fragment	47.09	HMM-based (lower-bound)	0.0	1.5	high kmer_freq may indicate large duplication
SRR35808900_ctg3305	41348	No	NA	72	21	1	High-quality	High-quality	95.56	AAI-based (medium-confidence)	0.0	1.0	
SRR35808900_ctg7089	39563	No	NA	58	15	2	Medium-quality	Genome-fragment	74.56	AAI-based (medium-confidence)	0.0	1.0	
SRR35808553_ctg791|provirus_1202560_1216302	13743	No	NA	18	8	2	Low-quality	Genome-fragment	25.16	AAI-based (medium-confidence)	0.0	1.0	
SRR35808553_ctg792|provirus_793261_807815	14555	No	NA	18	12	1	Low-quality	Genome-fragment	25.82	AAI-based (medium-confidence)	0.0	1.0	
SRR35808553_ctg921|provirus_684962_730295	45334	No	NA	63	29	0	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	
SRR35808553_ctg921|provirus_1054300_1093930	39631	No	NA	60	21	0	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	
SRR35808553_ctg1545|provirus_356261_374589	18329	No	NA	29	2	1	Low-quality	Genome-fragment	42.82	HMM-based (lower-bound)	0.0	1.0	
SRR35808553_ctg1545|provirus_685546_706400	20855	Yes	16875	25	12	3	Low-quality	Genome-fragment	33.8	AAI-based (medium-confidence)	19.08	1.0	
SRR35808553_ctg1545|provirus_1159832_1202423	42592	No	NA	64	16	0	Medium-quality	Genome-fragment	56.94	HMM-based (lower-bound)	0.0	1.0	
SRR35808553_ctg1563|provirus_1965431_2003503	38073	No	NA	67	20	0	Medium-quality	Genome-fragment	53.19	HMM-based (lower-bound)	0.0	1.0	
SRR35808553_ctg1563|provirus_3622510_3633783	11274	No	NA	16	10	1	Low-quality	Genome-fragment	25.54	AAI-based (medium-confidence)	0.0	1.0	
SRR35808553_ctg1563|provirus_3671356_3691187	19832	No	NA	25	5	0	Low-quality	Genome-fragment	33.48	AAI-based (medium-confidence)	0.0	1.0	
SRR35808553_ctg2020|provirus_1248877_1269893	21017	Yes	17084	23	10	4	Low-quality	Genome-fragment	37.65	AAI-based (medium-confidence)	18.71	1.0	
SRR35808553_ctg2129|provirus_1327017_1368636	41620	No	NA	63	12	1	Low-quality	Genome-fragment	47.41	HMM-based (lower-bound)	0.0	1.0	
SRR35808553_ctg2411|provirus_2913402_2926596	13195	No	NA	18	8	2	Low-quality	Genome-fragment	25.26	AAI-based (medium-confidence)	0.0	1.0	
SRR35808611_ctg78|provirus_2163821_2228021	64201	No	NA	68	11	2	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	
SRR35808611_ctg127|provirus_3889343_3949983	60641	No	NA	76	11	5	Medium-quality	Genome-fragment	72.85	HMM-based (lower-bound)	0.0	1.01	
SRR35808611_ctg148|provirus_1848576_1881419	32844	No	NA	34	5	0	Medium-quality	Genome-fragment	64.39	HMM-based (lower-bound)	0.0	1.0	
SRR35808611_ctg148|provirus_4840404_4870509	30106	No	NA	25	1	9	Low-quality	Genome-fragment	11.33	HMM-based (lower-bound)	0.0	1.0	
