contig	length	gc_perc	transl_table	cds_coding_density
SRR35808900_ctg3305	41348	0.57	11	93.15
SRR35808553_ctg921|provirus_684962_730295	45334	0.66	11	95.09
SRR35808553_ctg921|provirus_1054300_1093930	39631	0.67	11	96.45
SRR35808611_ctg78|provirus_2163821_2228021	64201	0.62	11	88.82
SRR35808611_ctg442|provirus_3721232_3760862	39631	0.67	11	96.45
SRR35808611_ctg442|provirus_4085068_4130200	45133	0.66	11	95.19
SRR35808611_ctg514|provirus_397177_435424	38248	0.6	11	88.91
SRR35808611_ctg707|provirus_5227802_5272024	44223	0.64	11	78.36
SRR35808611_ctg1214|provirus_771119_813367	42249	0.68	11	94.02
SRR35809155_ctg108|provirus_3243057_3288390	45334	0.66	11	95.09
SRR35809155_ctg108|provirus_3612395_3652025	39631	0.67	11	96.45
SRR35809332_ctg866|provirus_3351243_3393491	42249	0.68	11	94.02
SRR35809332_ctg1415|provirus_2264398_2309731	45334	0.66	11	95.09
SRR35809332_ctg1415|provirus_2633736_2673366	39631	0.67	11	96.45
SRR35809336_ctg10052|provirus_1805875_1849128	43254	0.67	11	94.18
SRR35809336_ctg10687|provirus_4211115_4255250	44136	0.64	11	93.93
