Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
SRR35808553_ctg1143	100.0	0.04	Gradient Boost (General Model)	11	0.914	3323760	330.7854581023802	3323760	0.42	3067	1	3323760	None
SRR35808553_ctg1545	99.41	0.45	Neural Network (Specific Model)	11	0.898	4141159	310.5238929196898	4141159	0.64	3997	1	4141159	None
SRR35808553_ctg1876	100.0	0.02	Neural Network (Specific Model)	11	0.938	4196994	327.49252615844546	4196994	0.66	4014	1	4196994	None
SRR35808553_ctg189	99.96	1.59	Neural Network (Specific Model)	11	0.825	8539090	325.7684851841595	8539090	0.47	7222	1	8539090	None
SRR35808553_ctg2129	99.5	0.18	Gradient Boost (General Model)	11	0.846	7458578	345.56518883415436	7458578	0.43	6090	1	7458578	None
SRR35808553_ctg2411	100.0	0.02	Neural Network (Specific Model)	11	0.905	2998273	299.1016837240013	2998273	0.69	3029	1	2998273	None
SRR35808553_ctg497	98.96	0.1	Gradient Boost (General Model)	11	0.902	3521426	337.33174300254456	3521426	0.39	3144	1	3521426	None
SRR35808553_ctg637	99.98	0.0	Neural Network (Specific Model)	11	0.896	5351274	337.80696937697996	5351274	0.44	4735	1	5351274	None
SRR35808553_ctg791	100.0	0.14	Neural Network (Specific Model)	11	0.904	2957344	303.5227891156463	2957344	0.69	2940	1	2957344	None
SRR35808553_ctg792	99.89	0.09	Neural Network (Specific Model)	11	0.915	3342312	293.2838691159587	3342312	0.62	3484	1	3342312	None
SRR35808553_ctg821	100.0	0.01	Neural Network (Specific Model)	11	0.895	5948890	369.15672417376845	5948890	0.43	4811	1	5948890	None
SRR35808553_ctg921	100.0	0.19	Neural Network (Specific Model)	11	0.912	4390566	331.5386904761905	4390566	0.67	4032	1	4390566	None
SRR35808611_ctg1000	99.99	0.12	Neural Network (Specific Model)	11	0.891	4718716	310.9372922667848	4718716	0.7	4513	1	4718716	None
SRR35808611_ctg1001	3.52	0.0	Neural Network (Specific Model)	11	0.801	301011	292.6545454545454	301011	0.4	275	1	301011	None
SRR35808611_ctg1124	99.04	0.05	Neural Network (Specific Model)	11	0.881	4136530	333.70543060888645	4136530	0.47	3646	1	4136530	None
SRR35808611_ctg1133	99.87	0.15	Neural Network (Specific Model)	11	0.903	3350696	318.9491792929293	3350696	0.68	3168	1	3350696	None
SRR35808611_ctg1169	3.57	0.0	Neural Network (Specific Model)	11	0.814	182596	285.2931034482759	182596	0.39	174	1	182596	None
SRR35808611_ctg1196	97.53	2.4	Gradient Boost (General Model)	11	0.849	6139773	344.34573520680783	6139773	0.68	5053	1	6139773	None
SRR35808611_ctg1214	100.0	0.0	Neural Network (Specific Model)	11	0.931	5030175	340.065174885944	5030175	0.7	4603	1	5030175	None
SRR35808611_ctg1245	99.6	1.42	Gradient Boost (General Model)	11	0.848	8716459	329.35215592043784	8716459	0.41	7491	1	8716459	None
SRR35808611_ctg127	98.92	0.42	Gradient Boost (General Model)	11	0.929	3958258	319.9890568004169	3958258	0.63	3838	1	3958258	None
SRR35808611_ctg1291	100.0	0.09	Neural Network (Specific Model)	11	0.907	3144692	298.88791208791207	3144692	0.69	3185	1	3144692	None
SRR35808611_ctg1318	95.88	0.32	Gradient Boost (General Model)	11	0.92	5320963	314.1892307692308	5320963	0.67	5200	1	5320963	None
SRR35808611_ctg148	100.0	0.18	Gradient Boost (General Model)	11	0.896	5806948	350.3821630347054	5806948	0.42	4956	1	5806948	None
SRR35808611_ctg229	100.0	0.02	Neural Network (Specific Model)	11	0.901	6151202	310.8545974113296	6151202	0.66	5949	1	6151202	None
SRR35808611_ctg249	100.0	1.41	Neural Network (Specific Model)	11	0.866	6707532	347.79756141294604	6707532	0.6	5577	1	6707532	None
SRR35808611_ctg321	100.0	0.06	Neural Network (Specific Model)	11	0.936	2734680	321.1476888387824	2734680	0.58	2661	1	2734680	None
SRR35808611_ctg391	100.0	1.46	Neural Network (Specific Model)	11	0.92	3871584	316.6291566906092	3871584	0.71	3759	1	3871584	None
SRR35808611_ctg442	100.0	0.16	Neural Network (Specific Model)	11	0.911	4395001	331.7818858560794	4395001	0.67	4030	1	4395001	None
SRR35808611_ctg514	100.0	0.52	Neural Network (Specific Model)	11	0.905	3849691	323.6724185917061	3849691	0.67	3593	1	3849691	None
SRR35808611_ctg580	99.95	0.17	Neural Network (Specific Model)	11	0.895	5629824	365.8740482923646	5629824	0.58	4597	1	5629824	None
SRR35808611_ctg691	100.0	0.33	Gradient Boost (General Model)	11	0.915	4460262	359.90628299894405	4460262	0.49	3788	1	4460262	None
SRR35808611_ctg704	100.0	0.04	Gradient Boost (General Model)	11	0.914	3319133	330.28659928268667	3319133	0.42	3067	1	3319133	None
SRR35808611_ctg707	100.0	0.51	Gradient Boost (General Model)	11	0.893	6596350	317.89602199223805	6596350	0.65	6184	1	6596350	None
SRR35808611_ctg78	94.1	1.08	Gradient Boost (General Model)	11	0.876	3810911	359.0841392649903	3810911	0.65	3102	1	3810911	None
SRR35808611_ctg855	3.03	0.0	Neural Network (Specific Model)	11	0.947	23023	303.375	23023	0.74	24	1	23023	None
SRR35808611_ctg923	99.96	0.14	Neural Network (Specific Model)	11	0.904	3646943	345.80986800754243	3646943	0.41	3182	1	3646943	None
SRR35808611_ctg998	100.0	0.0	Neural Network (Specific Model)	11	0.938	4190650	327.17173479561313	4190650	0.66	4012	1	4190650	None
