Description	Count	contig
CDS	72	SRR35808900_ctg3305
connector	0	SRR35808900_ctg3305
DNA, RNA and nucleotide metabolism	7	SRR35808900_ctg3305
head and packaging	6	SRR35808900_ctg3305
integration and excision	1	SRR35808900_ctg3305
lysis	4	SRR35808900_ctg3305
moron, auxiliary metabolic gene and host takeover	1	SRR35808900_ctg3305
other	2	SRR35808900_ctg3305
tail	2	SRR35808900_ctg3305
transcription regulation	0	SRR35808900_ctg3305
unknown function	49	SRR35808900_ctg3305
tRNAs	0	SRR35808900_ctg3305
CRISPRs	0	SRR35808900_ctg3305
tmRNAs	0	SRR35808900_ctg3305
VFDB_Virulence_Factors	0	SRR35808900_ctg3305
CARD_AMR_Genes	0	SRR35808900_ctg3305
CDS	63	SRR35808553_ctg921|provirus_684962_730295
connector	1	SRR35808553_ctg921|provirus_684962_730295
DNA, RNA and nucleotide metabolism	5	SRR35808553_ctg921|provirus_684962_730295
head and packaging	9	SRR35808553_ctg921|provirus_684962_730295
integration and excision	1	SRR35808553_ctg921|provirus_684962_730295
lysis	1	SRR35808553_ctg921|provirus_684962_730295
moron, auxiliary metabolic gene and host takeover	0	SRR35808553_ctg921|provirus_684962_730295
other	1	SRR35808553_ctg921|provirus_684962_730295
tail	8	SRR35808553_ctg921|provirus_684962_730295
transcription regulation	1	SRR35808553_ctg921|provirus_684962_730295
unknown function	36	SRR35808553_ctg921|provirus_684962_730295
tRNAs	0	SRR35808553_ctg921|provirus_684962_730295
CRISPRs	0	SRR35808553_ctg921|provirus_684962_730295
tmRNAs	0	SRR35808553_ctg921|provirus_684962_730295
VFDB_Virulence_Factors	0	SRR35808553_ctg921|provirus_684962_730295
CARD_AMR_Genes	0	SRR35808553_ctg921|provirus_684962_730295
CDS	60	SRR35808553_ctg921|provirus_1054300_1093930
connector	0	SRR35808553_ctg921|provirus_1054300_1093930
DNA, RNA and nucleotide metabolism	2	SRR35808553_ctg921|provirus_1054300_1093930
head and packaging	4	SRR35808553_ctg921|provirus_1054300_1093930
integration and excision	2	SRR35808553_ctg921|provirus_1054300_1093930
lysis	2	SRR35808553_ctg921|provirus_1054300_1093930
moron, auxiliary metabolic gene and host takeover	0	SRR35808553_ctg921|provirus_1054300_1093930
other	1	SRR35808553_ctg921|provirus_1054300_1093930
tail	6	SRR35808553_ctg921|provirus_1054300_1093930
transcription regulation	4	SRR35808553_ctg921|provirus_1054300_1093930
unknown function	39	SRR35808553_ctg921|provirus_1054300_1093930
tRNAs	0	SRR35808553_ctg921|provirus_1054300_1093930
CRISPRs	0	SRR35808553_ctg921|provirus_1054300_1093930
tmRNAs	0	SRR35808553_ctg921|provirus_1054300_1093930
VFDB_Virulence_Factors	0	SRR35808553_ctg921|provirus_1054300_1093930
CARD_AMR_Genes	0	SRR35808553_ctg921|provirus_1054300_1093930
CDS	68	SRR35808611_ctg78|provirus_2163821_2228021
connector	0	SRR35808611_ctg78|provirus_2163821_2228021
DNA, RNA and nucleotide metabolism	2	SRR35808611_ctg78|provirus_2163821_2228021
head and packaging	3	SRR35808611_ctg78|provirus_2163821_2228021
integration and excision	1	SRR35808611_ctg78|provirus_2163821_2228021
lysis	0	SRR35808611_ctg78|provirus_2163821_2228021
moron, auxiliary metabolic gene and host takeover	0	SRR35808611_ctg78|provirus_2163821_2228021
other	3	SRR35808611_ctg78|provirus_2163821_2228021
tail	5	SRR35808611_ctg78|provirus_2163821_2228021
transcription regulation	0	SRR35808611_ctg78|provirus_2163821_2228021
unknown function	54	SRR35808611_ctg78|provirus_2163821_2228021
tRNAs	1	SRR35808611_ctg78|provirus_2163821_2228021
CRISPRs	0	SRR35808611_ctg78|provirus_2163821_2228021
tmRNAs	0	SRR35808611_ctg78|provirus_2163821_2228021
VFDB_Virulence_Factors	0	SRR35808611_ctg78|provirus_2163821_2228021
CARD_AMR_Genes	0	SRR35808611_ctg78|provirus_2163821_2228021
CDS	60	SRR35808611_ctg442|provirus_3721232_3760862
connector	0	SRR35808611_ctg442|provirus_3721232_3760862
DNA, RNA and nucleotide metabolism	2	SRR35808611_ctg442|provirus_3721232_3760862
head and packaging	4	SRR35808611_ctg442|provirus_3721232_3760862
integration and excision	2	SRR35808611_ctg442|provirus_3721232_3760862
lysis	2	SRR35808611_ctg442|provirus_3721232_3760862
moron, auxiliary metabolic gene and host takeover	0	SRR35808611_ctg442|provirus_3721232_3760862
other	1	SRR35808611_ctg442|provirus_3721232_3760862
