# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	1	582	+	HNGIBB_00001	-	-	-	-	-	-
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	579	1532	+	HNGIBB_00002	356.0	7.6e-121	0.972	0.863	0.588	UniRef:UniRef50_A0A3M2E619
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	1611	1970	+	HNGIBB_00003	-	-	-	-	-	-
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	2045	3844	+	HNGIBB_00004	958.0	0.0	0.997	0.987	0.838	UniRef:UniRef50_A0A2U2BVI3
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	3841	4050	-	HNGIBB_00005	-	-	-	-	-	-
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	tRNA	4120	4194	+	HNGIBB_00006	64.7	-	-	-	-	-
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	4247	4747	+	HNGIBB_00007	150.0	6.1e-45	0.964	0.936	0.519	UniRef:UniRef50_A0A7W9E670
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	tRNA	4795	4871	+	HNGIBB_00008	74.4	-	-	-	-	-
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	5035	5364	-	HNGIBB_00009	-	-	-	-	-	-
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	5425	5568	-	HNGIBB_00010	-	-	-	-	-	-
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	5634	6839	-	HNGIBB_00011	450.0	2.6e-155	0.995	0.893	0.571	UniRef:UniRef50_Q7CXU0
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	6895	7356	+	HNGIBB_00012	271.0	5.2e-93	1.007	1.0	0.831	UniRef:UniRef50_A0A1B1ADG7
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	tRNA	8156	8230	+	HNGIBB_00013	83.2	-	-	-	-	-
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	8416	8955	+	HNGIBB_00014	-	-	-	-	-	-
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	tRNA	9032	9108	+	HNGIBB_00015	88.4	-	-	-	-	-
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	9136	10068	+	HNGIBB_00016	-	-	-	-	-	-
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	10203	12104	+	HNGIBB_00017	708.0	2.7e-249	1.041	0.950	0.569	UniRef:UniRef50_A0A829YN23
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	cds	12133	14556	+	HNGIBB_00018	-	-	-	-	-	-
