ID	taxid	taxid2	length	name	nuctype	Htaxid	Hname	Vfamily	Hgroup	hosttype	seq_ids	<i>S</i><sub>G</sub> to Lepyrophagus	<i>S</i><sub>G</sub> to Eremotheras	<i>S</i><sub>G</sub> to Ammolykos	order
NC_023859	1458670	1458670-1	59254	Microbacterium phage vB_MoxS-ISF9	dsDNA	82380	Microbacterium oxydans	-	Actinomycetota	Prokaryote	NC_023859	0.0046	0.0	0.0048	1
NC_023549	1406793	1406793-1	56789	Clavibacter phage CN1A	dsDNA	28447	Clavibacter michiganensis	-	Actinomycetota	Prokaryote	NC_023549	0.0	0.0037	0.0046	2
NC_013698	686439	686439-1	58652	Clavibacter phage CMP1	dsDNA	33013	Clavibacter michiganensis subsp. michiganensis	-	Actinomycetota	Prokaryote	NC_013698	0.0	0.0	0.0	3
NC_019930	981335	981335-1	49219	Tetrasphaera phage TJE1	dsDNA	330834	Tetrasphaera jenkinsii	-	Actinomycetota	Prokaryote	NC_019930	0.0037	0.0	0.0057	4
NC_021322	1273750	1273750-1	49107	Haloarcula hispanica tailed virus 1	dsDNA	51589	Haloarcula hispanica	Madisaviridae	Euryarchaeota	Prokaryote	NC_021322	0.0	0.0	0.0	5
NC_062760	2878008	2878008-1	56593	Halorubrum tailed virus 27	dsDNA	1879286	Halorubrum sp.	Hafunaviridae	Euryarchaeota	Prokaryote	NC_062760	0.0034	0.0051	0.0	6
NC_062759	2878006	2878006-1	61934	Halorubrum tailed virus 25	dsDNA	1879286	Halorubrum sp.	Hafunaviridae	Euryarchaeota	Prokaryote	NC_062759	0.0030	0.0	0.0	7
NC_021335	2847108	2847108-1	69048	Halorubrum tailed phage 7	dsDNA	1089735	Halorubrum sp. B2-2	Hafunaviridae	Euryarchaeota	Prokaryote	NC_021335	0.0057	0.0038	0.0	8
NC_020159	1262527	1262527-1	68527	Halorubrum sodomense tailed virus 2	dsDNA	35743	Halorubrum sodomense	Hafunaviridae	Euryarchaeota	Prokaryote	NC_020159	0.0032	0.0	0.0	9
NC_062740	2721757	2721757-1	74196	Halorubrum virus Serpecor1	dsDNA	64713	Halorubrum coriense	Hafunaviridae	Euryarchaeota	Prokaryote	NC_062740	0.0	0.0	0.0	10
