"genome"	"Ammolykos_SRR35808611_ctg1214_provirus_771119_813367"	"Ammolykos_SRR35809332_ctg866_provirus_3351243_3393491"	"Eremotheras_SRR35809332_ctg1415_provirus_2633736_2673366"	"Eremotheras_SRR35809155_ctg108_provirus_3612395_3652025"	"Eremotheras_SRR35808553_ctg921_provirus_1054300_1093930"	"Eremotheras_SRR35808611_ctg442_provirus_3721232_3760862"	"Lepyrophagus_SRR35808611_ctg442_provirus_4085068_4130200"	"Lepyrophagus_SRR35809332_ctg1415_provirus_2264398_2309731"	"Lepyrophagus_SRR35808553_ctg921_provirus_684962_730295"	"Lepyrophagus_SRR35809155_ctg108_provirus_3243057_3288390"
"Ammolykos_SRR35808611_ctg1214_provirus_771119_813367"	100	100	0.802	0.802	0.802	0.802	0.602	0.598	0.598	0.598
"Ammolykos_SRR35809332_ctg866_provirus_3351243_3393491"	100	100	0.802	0.802	0.802	0.802	0.602	0.598	0.598	0.598
"Eremotheras_SRR35809332_ctg1415_provirus_2633736_2673366"	0.802	0.802	100	100	100	100	3.999	4.042	4.042	4.042
"Eremotheras_SRR35809155_ctg108_provirus_3612395_3652025"	0.802	0.802	100	100	100	100	3.999	4.042	4.042	4.042
"Eremotheras_SRR35808553_ctg921_provirus_1054300_1093930"	0.802	0.802	100	100	100	100	3.999	4.042	4.042	4.042
"Eremotheras_SRR35808611_ctg442_provirus_3721232_3760862"	0.802	0.802	100	100	100	100	4.051	4.093	4.093	4.093
"Lepyrophagus_SRR35808611_ctg442_provirus_4085068_4130200"	0.602	0.602	3.999	3.999	3.999	4.051	100	99.778	99.778	99.778
"Lepyrophagus_SRR35809332_ctg1415_provirus_2264398_2309731"	0.598	0.598	4.042	4.042	4.042	4.093	99.778	100	100	100
"Lepyrophagus_SRR35808553_ctg921_provirus_684962_730295"	0.598	0.598	4.042	4.042	4.042	4.093	99.778	100	100	100
"Lepyrophagus_SRR35809155_ctg108_provirus_3243057_3288390"	0.598	0.598	4.042	4.042	4.042	4.093	99.778	100	100	100
