group	sample	contig	length
Eremotheras	SRR35809155	ctg108|provirus_3612395_3652025	39631
Eremotheras	SRR35808611	ctg442|provirus_3721232_3760862	39631
Eremotheras	SRR35809332	ctg1415|provirus_2633736_2673366	39631
Eremotheras	SRR35808553	ctg921|provirus_1054300_1093930	39631
Lepyrophagus	SRR35809155	ctg108|provirus_3243057_3288390	45334
Lepyrophagus	SRR35809332	ctg1415|provirus_2264398_2309731	45334
Lepyrophagus	SRR35808553	ctg921|provirus_684962_730295	45334
Lepyrophagus	SRR35808611	ctg442|provirus_4085068_4130200	45133
Ammolykos	SRR35809332	ctg866|provirus_3351243_3393491	42249
Ammolykos	SRR35808611	ctg1214|provirus_771119_813367	42249
unique	SRR35808900	ctg3305	41348
unique	SRR35808611	ctg78|provirus_2163821_2228021	64201
unique	SRR35808611	ctg514|provirus_397177_435424	38248
unique	SRR35808611	ctg707|provirus_5227802_5272024	44223
unique	SRR35809336	ctg10052|provirus_1805875_1849128	43254
unique	SRR35809336	ctg10687|provirus_4211115_4255250	44136
