contig_id	contig_length	total_genes	viral_genes	host_genes	provirus	proviral_length	host_length	region_types	region_lengths	region_coords_bp	region_coords_genes	region_viral_genes	region_host_genes
SRR35808553_ctg1561	15576	17	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35808553_ctg2334	30227	46	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35808900_ctg3305	41348	72	21	1	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35808900_ctg7089	39563	58	15	2	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35808553_ctg791|provirus_1202560_1216302	13743	18	8	2	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35808553_ctg792|provirus_793261_807815	14555	18	12	1	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35808553_ctg921|provirus_684962_730295	45334	63	29	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35808553_ctg921|provirus_1054300_1093930	39631	60	21	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35808553_ctg1545|provirus_356261_374589	18329	29	2	1	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35808553_ctg1545|provirus_685546_706400	20855	25	12	3	Yes	16875	3980	host,viral	3980,16875	1-3980,3981-20855	1-4,5-25	0,12	3,0
SRR35808553_ctg1545|provirus_1159832_1202423	42592	64	16	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35808553_ctg1563|provirus_1965431_2003503	38073	67	20	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35808553_ctg1563|provirus_3622510_3633783	11274	16	10	1	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35808553_ctg1563|provirus_3671356_3691187	19832	25	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SRR35808553_ctg2020|provirus_1248877_1269893	21017	23	10	4	Yes	17084	3933	viral,host	17084,3933	1-17084,17085-21017	1-20,21-23	10,0	1,3
SRR35808553_ctg2129|provirus_1327017_1368636	41620	63	12	1	No	NA	NA	NA	NA	NA	NA	NA	NA
