"genome"	"species_cluster"	"genus_cluster"
"Ammolykos_SRR35808611_ctg1214_provirus_771119_813367"	1	1
"Ammolykos_SRR35809332_ctg866_provirus_3351243_3393491"	1	1
"Eremotheras_SRR35809332_ctg1415_provirus_2633736_2673366"	2	2
"Eremotheras_SRR35809155_ctg108_provirus_3612395_3652025"	2	2
"Eremotheras_SRR35808553_ctg921_provirus_1054300_1093930"	2	2
"Eremotheras_SRR35808611_ctg442_provirus_3721232_3760862"	2	2
"Lepyrophagus_SRR35808611_ctg442_provirus_4085068_4130200"	3	3
"Lepyrophagus_SRR35809332_ctg1415_provirus_2264398_2309731"	3	3
"Lepyrophagus_SRR35808553_ctg921_provirus_684962_730295"	3	3
"Lepyrophagus_SRR35809155_ctg108_provirus_3243057_3288390"	3	3
