# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
SRR35809155_ctg370	cds	2	490	+	EIDGLC_00001		(5' truncated) hypothetical protein	
SRR35809155_ctg370	cds	583	1263	+	EIDGLC_00002		Outer membrane protein beta-barrel domain-containing protein	SO:0001217, UniRef:UniRef50_A0A258HS44
SRR35809155_ctg370	cds	1395	2852	+	EIDGLC_00003		Glutamate synthase [NADPH] small chain	SO:0001217, UniRef:UniRef50_Q05756
SRR35809155_ctg370	cds	2849	7312	+	EIDGLC_00004		Glutamate synthase [NADPH] large chain	SO:0001217, UniRef:UniRef50_Q05755
SRR35809155_ctg370	cds	7355	8239	-	EIDGLC_00005		DUF4861 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A974NY10
SRR35809155_ctg370	cds	8256	10565	-	EIDGLC_00006		1,4-beta-D-glucan glucohydrolase	SO:0001217, UniRef:UniRef50_W0ANL8
SRR35809155_ctg370	cds	10715	11980	-	EIDGLC_00007		D-mannonate dehydratase CC0532	SO:0001217, UniRef:UniRef50_Q9AAR4
SRR35809155_ctg370	cds	12054	12818	+	EIDGLC_00008	gntR	GntR family transcriptional regulator	SO:0001217, UniRef:UniRef50_A0A0Q8FGN5
SRR35809155_ctg370	cds	12829	14097	-	EIDGLC_00009		Alginate lyase	SO:0001217, UniRef:UniRef50_A0A1V1UZ54
SRR35809155_ctg370	cds	14153	17053	-	EIDGLC_00010		TonB-dependent receptor	SO:0001217, UniRef:UniRef50_A0A2P7QLZ3
SRR35809155_ctg370	cds	17208	18380	+	EIDGLC_00011		Putative unsaturated glucuronyl hydrolase	SO:0001217, UniRef:UniRef50_R0D1L1
SRR35809155_ctg370	cds	18497	20344	+	EIDGLC_00012		DUF3131 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3Q9INV9
SRR35809155_ctg370	cds	20445	21212	+	EIDGLC_00013		hypothetical protein	
SRR35809155_ctg370	cds	21217	22107	-	EIDGLC_00014		RDD domain-containing protein	SO:0001217, UniRef:UniRef50_Q9AAM8
SRR35809155_ctg370	cds	22097	23110	-	EIDGLC_00015		Integral membrane protein	SO:0001217, UniRef:UniRef50_A0A0A7PSZ1
SRR35809155_ctg370	cds	23107	24420	-	EIDGLC_00016		DUF58 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0Q8GB23
SRR35809155_ctg370	cds	24417	25373	-	EIDGLC_00017	moxR	MoxR family ATPase	SO:0001217, UniRef:UniRef50_A4YVT6
SRR35809155_ctg370	cds	25360	26655	-	EIDGLC_00018		DUF4350 domain-containing protein	SO:0001217, UniRef:UniRef50_D9QH96
SRR35809155_ctg370	cds	26652	27302	-	EIDGLC_00019		Protein-glutamine gamma-glutamyltransferase-like C-terminal domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1Z3UAN3
SRR35809155_ctg370	cds	27511	28368	-	EIDGLC_00020		putative membrane transporter protein	SO:0001217, UniRef:UniRef50_A0A172YA11
SRR35809155_ctg370	cds	28529	29620	+	EIDGLC_00021		X-Pro dipeptidase	SO:0001217, UniRef:UniRef50_A0A0Q6KRY2
SRR35809155_ctg370	cds	29617	30267	-	EIDGLC_00022		HTH gntR-type domain-containing protein	SO:0001217, UniRef:UniRef50_T0HFN5
SRR35809155_ctg370	cds	30270	31271	-	EIDGLC_00023		4-hydroxyproline epimerase	SO:0001217, UniRef:UniRef50_A0A6I4K220
SRR35809155_ctg370	cds	31274	32170	-	EIDGLC_00024		N-acetylneuraminate lyase	SO:0001217, UniRef:UniRef50_A0A177GB74
SRR35809155_ctg370	cds	32239	33525	+	EIDGLC_00025		D-amino acid dehydrogenase small subunit	SO:0001217, UniRef:UniRef50_A0A6I6MPG3
SRR35809155_ctg370	cds	33483	34745	-	EIDGLC_00026		Gamma-glutamyl phosphate reductase	SO:0001217, UniRef:UniRef50_A9IMB2
SRR35809155_ctg370	cds	34742	35905	-	EIDGLC_00027		Glutamate 5-kinase	SO:0001217, UniRef:UniRef50_A0A9E0YSW6
SRR35809155_ctg370	cds	36075	37460	+	EIDGLC_00028		Threonine synthase	SO:0001217, UniRef:UniRef50_F4QLT1
SRR35809155_ctg370	cds	37463	38410	-	EIDGLC_00029		Homoserine kinase	SO:0001217, UniRef:UniRef50_D9QNU8
SRR35809155_ctg370	cds	38410	40152	-	EIDGLC_00030		Homoserine dehydrogenase	SO:0001217, UniRef:UniRef50_A0A1V1V0E3
SRR35809155_ctg370	cds	40555	41655	-	EIDGLC_00031		3-isopropylmalate dehydrogenase	SO:0001217, UniRef:UniRef50_A0A5Q4G9A8
SRR35809155_ctg370	cds	41655	42245	-	EIDGLC_00032		3-isopropylmalate dehydratase small subunit	SO:0001217, UniRef:UniRef50_A9WC30
SRR35809155_ctg370	cds	42238	43650	-	EIDGLC_00033		3-isopropylmalate dehydratase large subunit	SO:0001217, UniRef:UniRef50_Q2IJC2
SRR35809155_ctg370	cds	43643	44611	-	EIDGLC_00034		Branched-chain-amino-acid aminotransferase	SO:0001217, UniRef:UniRef50_I4VQU2
SRR35809155_ctg370	cds	44595	45821	-	EIDGLC_00035		2-isopropylmalate synthase	SO:0001217, UniRef:UniRef50_A0A4Q6GMR7
SRR35809155_ctg370	cds	45818	46066	-	EIDGLC_00036		hypothetical protein	PFAM:PF13710.12
SRR35809155_ctg370	cds	46068	47771	-	EIDGLC_00037		Acetolactate synthase	SO:0001217, UniRef:UniRef50_H0PW82
SRR35809155_ctg370	cds	47817	48833	-	EIDGLC_00038		Ketol-acid reductoisomerase (NADP(+))	SO:0001217, UniRef:UniRef50_P9WKJ7
SRR35809155_ctg370	cds	48835	50577	-	EIDGLC_00039		Dihydroxy-acid dehydratase	SO:0001217, UniRef:UniRef50_A7NNA3
SRR35809155_ctg370	cds	50677	50829	-	EIDGLC_00040		hypothetical protein	
SRR35809155_ctg370	cds	51046	52314	+	EIDGLC_00041		hypothetical protein	PFAM:PF00685.33, PFAM:PF13469.12
SRR35809155_ctg370	cds	52340	53335	+	EIDGLC_00042		3-oxoacyl-ACP synthase	SO:0001217, UniRef:UniRef50_A0A0T0PZ57
SRR35809155_ctg370	cds	53332	54318	+	EIDGLC_00043		NAD-dependent epimerase/dehydratase domain-containing protein	SO:0001217, UniRef:UniRef50_V4NTW9
SRR35809155_ctg370	cds	54315	55160	+	EIDGLC_00044		N-acyl homoserine lactonase	SO:0001217, UniRef:UniRef50_A0A5P9GNU5
SRR35809155_ctg370	cds	55150	56403	+	EIDGLC_00045		hypothetical protein	
SRR35809155_ctg370	cds	56502	57557	-	EIDGLC_00046		Sulfate exporter family transporter	SO:0001217, UniRef:UniRef50_A0A0P0DKI1
SRR35809155_ctg370	cds	57635	58519	+	EIDGLC_00047		CysJI operon transcriptional activator	SO:0001217, UniRef:UniRef50_A0A2X1D4D4
SRR35809155_ctg370	cds	58631	59233	+	EIDGLC_00048		hypothetical protein	PFAM:PF01047.28, PFAM:PF13463.12, PFAM:PF22381.2
SRR35809155_ctg370	cds	59319	59456	-	EIDGLC_00049	ybgT	Cyd operon protein YbgT	SO:0001217, UniRef:UniRef50_A0A7I8BFQ3
