#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
SRR35809155_ctg370	2	490	+	EIDGLC_00001	16.5	6.3		
SRR35809155_ctg370	20445	21212	+	EIDGLC_00013	26.7	9.5		
SRR35809155_ctg370	45818	46066	-	EIDGLC_00036	9.2	9.5	PF13710.12|ACT_5	PFAM:PF13710.12
SRR35809155_ctg370	50677	50829	-	EIDGLC_00040	5.2	11.5		
SRR35809155_ctg370	51046	52314	+	EIDGLC_00041	47.5	9.0	PF00685.33|Sulfotransfer_1, PF13469.12|Sulfotransfer_3	PFAM:PF00685.33, PFAM:PF13469.12
SRR35809155_ctg370	55150	56403	+	EIDGLC_00045	45.3	9.8		
SRR35809155_ctg370	58631	59233	+	EIDGLC_00048	22.5	9.6	PF01047.28|MarR, PF13463.12|HTH_27, PF22381.2|Staph_reg_Sar_Rot	PFAM:PF01047.28, PFAM:PF13463.12, PFAM:PF22381.2
SRR35809155_ctg370	65675	65794	+	EIDGLC_00054	4.0	5.9		
SRR35809155_ctg370	72752	73354	+	EIDGLC_00064	22.4	10.0		
SRR35809155_ctg370	75715	76353	-	EIDGLC_00067	22.0	11.3		
SRR35809155_ctg370	79115	79486	+	EIDGLC_00072	13.8	4.8		
SRR35809155_ctg370	80102	80635	-	EIDGLC_00074	19.4	5.6		
SRR35809155_ctg370	80650	80769	-	EIDGLC_00075	4.1	4.1		
SRR35809155_ctg370	81928	82437	+	EIDGLC_00077	17.8	8.8	PF12682.12|Flavodoxin_4	PFAM:PF12682.12
SRR35809155_ctg370	83308	84039	+	EIDGLC_00079	26.0	8.8		
SRR35809155_ctg370	90642	91541	-	EIDGLC_00086	31.6	5.8	PF00582.32|Usp	PFAM:PF00582.32
SRR35809155_ctg370	91738	92316	+	EIDGLC_00087	22.0	8.9		SO:0001217, UniRef:UniRef50_A7IF58
SRR35809155_ctg370	92329	92628	-	EIDGLC_00088	10.7	9.0		
