feature_id	locus_id	coordinates	feature_type	name	group	group_type	category	fill_colour	stroke_colour	show_label
SRR35809155_ctg370|provirus_1812884_1822384_CDS_0001	SRR35809155_ctg370|provirus_1812884_1822384	1:531:-1	CDS	hypothetical protein	SRR35809155_ctg370|provirus_1812884_1822384_CDS_0001	conserved	unknown function	default	default	0
SRR35809155_ctg370|provirus_1812884_1822384_CDS_0002	SRR35809155_ctg370|provirus_1812884_1822384	524:679:-1	CDS	hypothetical protein	SRR35809155_ctg370|provirus_1812884_1822384_CDS_0002	conserved	unknown function	default	default	0
SRR35809155_ctg370|provirus_1812884_1822384_CDS_0003	SRR35809155_ctg370|provirus_1812884_1822384	697:990:-1	CDS	hypothetical protein	SRR35809155_ctg370|provirus_1812884_1822384_CDS_0003	conserved	unknown function	default	default	0
SRR35809155_ctg370|provirus_1812884_1822384_CDS_0004	SRR35809155_ctg370|provirus_1812884_1822384	990:1400:-1	CDS	major tail protein	SRR35809155_ctg370|provirus_1812884_1822384_CDS_0004	conserved	tail	default	default	0
SRR35809155_ctg370|provirus_1812884_1822384_CDS_0005	SRR35809155_ctg370|provirus_1812884_1822384	1397:1810:-1	CDS	hypothetical protein	SRR35809155_ctg370|provirus_1812884_1822384_CDS_0005	conserved	unknown function	default	default	0
SRR35809155_ctg370|provirus_1812884_1822384_CDS_0006	SRR35809155_ctg370|provirus_1812884_1822384	1807:2130:-1	CDS	hypothetical protein	SRR35809155_ctg370|provirus_1812884_1822384_CDS_0006	conserved	unknown function	default	default	0
SRR35809155_ctg370|provirus_1812884_1822384_CDS_0007	SRR35809155_ctg370|provirus_1812884_1822384	2097:2363:-1	CDS	head-tail adaptor Ad1	SRR35809155_ctg370|provirus_1812884_1822384_CDS_0007	conserved	connector	default	default	0
SRR35809155_ctg370|provirus_1812884_1822384_CDS_0008	SRR35809155_ctg370|provirus_1812884_1822384	2434:3663:-1	CDS	major head protein	SRR35809155_ctg370|provirus_1812884_1822384_CDS_0008	conserved	head and packaging	default	default	0
SRR35809155_ctg370|provirus_1812884_1822384_CDS_0009	SRR35809155_ctg370|provirus_1812884_1822384	3747:4538:1	CDS	hypothetical protein	SRR35809155_ctg370|provirus_1812884_1822384_CDS_0009	conserved	unknown function	default	default	0
SRR35809155_ctg370|provirus_1812884_1822384_CDS_0010	SRR35809155_ctg370|provirus_1812884_1822384	4519:4980:-1	CDS	head maturation protease	SRR35809155_ctg370|provirus_1812884_1822384_CDS_0010	conserved	head and packaging	default	default	0
