# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
SRR35809155_ctg370	cds	2	490	+	EIDGLC_00001	-	-	-	-	-	-
SRR35809155_ctg370	cds	583	1263	+	EIDGLC_00002	271.0	1.2e-90	1.0	0.938	0.597	UniRef:UniRef50_A0A258HS44
SRR35809155_ctg370	cds	1395	2852	+	EIDGLC_00003	550.0	8.5e-192	0.938	0.823	0.626	UniRef:UniRef50_Q05756
SRR35809155_ctg370	cds	2849	7312	+	EIDGLC_00004	2022.0	0.0	0.998	0.913	0.714	UniRef:UniRef50_Q05755
SRR35809155_ctg370	cds	7355	8239	-	EIDGLC_00005	342.0	1.5e-116	0.925	0.866	0.577	UniRef:UniRef50_A0A974NY10
SRR35809155_ctg370	cds	8256	10565	-	EIDGLC_00006	803.0	4.8e-282	1.025	0.905	0.549	UniRef:UniRef50_W0ANL8
SRR35809155_ctg370	cds	10715	11980	-	EIDGLC_00007	553.0	1.2e-195	0.950	0.893	0.678	UniRef:UniRef50_Q9AAR4
SRR35809155_ctg370	cds	12054	12818	+	EIDGLC_00008	251.0	5.1e-82	0.972	0.950	0.567	UniRef:UniRef50_A0A0Q8FGN5
SRR35809155_ctg370	cds	12829	14097	-	EIDGLC_00009	597.0	5.4e-213	0.934	0.904	0.716	UniRef:UniRef50_A0A1V1UZ54
SRR35809155_ctg370	cds	14153	17053	-	EIDGLC_00010	950.0	0.0	0.972	0.911	0.556	UniRef:UniRef50_A0A2P7QLZ3
SRR35809155_ctg370	cds	17208	18380	+	EIDGLC_00011	442.0	4.0e-153	1.010	0.980	0.571	UniRef:UniRef50_R0D1L1
SRR35809155_ctg370	cds	18497	20344	+	EIDGLC_00012	779.0	5.5e-278	0.972	0.903	0.652	UniRef:UniRef50_A0A3Q9INV9
SRR35809155_ctg370	cds	20445	21212	+	EIDGLC_00013	-	-	-	-	-	-
SRR35809155_ctg370	cds	21217	22107	-	EIDGLC_00014	283.0	2.6e-93	0.993	0.936	0.541	UniRef:UniRef50_Q9AAM8
SRR35809155_ctg370	cds	22097	23110	-	EIDGLC_00015	337.0	2.2e-113	1.006	0.974	0.534	UniRef:UniRef50_A0A0A7PSZ1
SRR35809155_ctg370	cds	23107	24420	-	EIDGLC_00016	417.0	1.1e-141	1.0	0.973	0.519	UniRef:UniRef50_A0A0Q8GB23
SRR35809155_ctg370	cds	24417	25373	-	EIDGLC_00017	509.0	8.5e-182	1.0	0.975	0.821	UniRef:UniRef50_A4YVT6
SRR35809155_ctg370	cds	25360	26655	-	EIDGLC_00018	552.0	1.5e-194	1.090	1.002	0.643	UniRef:UniRef50_D9QH96
SRR35809155_ctg370	cds	26652	27302	-	EIDGLC_00019	182.0	3.9e-56	0.954	0.958	0.510	UniRef:UniRef50_A0A1Z3UAN3
SRR35809155_ctg370	cds	27511	28368	-	EIDGLC_00020	296.0	8.4e-99	0.986	0.962	0.594	UniRef:UniRef50_A0A172YA11
SRR35809155_ctg370	cds	28529	29620	+	EIDGLC_00021	385.0	5.0e-131	0.967	0.882	0.564	UniRef:UniRef50_A0A0Q6KRY2
