feature_id	locus_id	coordinates	feature_type	name	group	group_type	category	fill_colour	stroke_colour	show_label
SRR35809332_ctg1415|provirus_2264398_2309731_CDS_0001	SRR35809332_ctg1415|provirus_2264398_2309731	1:1068:-1	CDS	integrase	SRR35809332_ctg1415|provirus_2264398_2309731_CDS_0001	conserved	integration and excision	default	default	0
SRR35809332_ctg1415|provirus_2264398_2309731_CDS_0002	SRR35809332_ctg1415|provirus_2264398_2309731	1070:1339:-1	CDS	hypothetical protein	SRR35809332_ctg1415|provirus_2264398_2309731_CDS_0002	conserved	unknown function	default	default	0
SRR35809332_ctg1415|provirus_2264398_2309731_CDS_0003	SRR35809332_ctg1415|provirus_2264398_2309731	1339:1785:-1	CDS	hypothetical protein	SRR35809332_ctg1415|provirus_2264398_2309731_CDS_0003	conserved	unknown function	default	default	0
SRR35809332_ctg1415|provirus_2264398_2309731_CDS_0004	SRR35809332_ctg1415|provirus_2264398_2309731	1795:1965:-1	CDS	hypothetical protein	SRR35809155_ctg108|provirus_3243057_3288390_CDS_0004	conserved	unknown function	default	default	0
SRR35809332_ctg1415|provirus_2264398_2309731_CDS_0005	SRR35809332_ctg1415|provirus_2264398_2309731	1962:2633:-1	CDS	hypothetical protein	SRR35808553_ctg921|provirus_684962_730295_CDS_0005	conserved	unknown function	default	default	0
SRR35809332_ctg1415|provirus_2264398_2309731_CDS_0006	SRR35809332_ctg1415|provirus_2264398_2309731	2630:3067:-1	CDS	hypothetical protein	SRR35808553_ctg921|provirus_684962_730295_CDS_0006	conserved	unknown function	default	default	0
SRR35809332_ctg1415|provirus_2264398_2309731_CDS_0007	SRR35809332_ctg1415|provirus_2264398_2309731	3067:4917:-1	CDS	hypothetical protein	SRR35808553_ctg921|provirus_684962_730295_CDS_0007	conserved	unknown function	default	default	0
SRR35809332_ctg1415|provirus_2264398_2309731_CDS_0008	SRR35809332_ctg1415|provirus_2264398_2309731	5192:5848:-1	CDS	hypothetical protein	SRR35808553_ctg921|provirus_684962_730295_CDS_0008	conserved	unknown function	default	default	0
SRR35809332_ctg1415|provirus_2264398_2309731_CDS_0009	SRR35809332_ctg1415|provirus_2264398_2309731	5848:7677:-1	CDS	hypothetical protein	SRR35808553_ctg921|provirus_684962_730295_CDS_0009	conserved	unknown function	default	default	0
SRR35809332_ctg1415|provirus_2264398_2309731_CDS_0010	SRR35809332_ctg1415|provirus_2264398_2309731	7682:8368:-1	CDS	hypothetical protein	SRR35808553_ctg921|provirus_684962_730295_CDS_0010	conserved	unknown function	default	default	0
SRR35809332_ctg1415|provirus_2264398_2309731_CDS_0011	SRR35809332_ctg1415|provirus_2264398_2309731	8605:9633:-1	CDS	RecT-like ssDNA annealing protein	SRR35808553_ctg921|provirus_684962_730295_CDS_0011	conserved	DNA, RNA and nucleotide metabolism	default	default	0
SRR35809332_ctg1415|provirus_2264398_2309731_CDS_0012	SRR35809332_ctg1415|provirus_2264398_2309731	9645:10466:-1	CDS	exonuclease	SRR35808553_ctg921|provirus_684962_730295_CDS_0012	conserved	DNA, RNA and nucleotide metabolism	default	default	0
SRR35809332_ctg1415|provirus_2264398_2309731_CDS_0013	SRR35809332_ctg1415|provirus_2264398_2309731	10463:10717:-1	CDS	hypothetical protein	SRR35808553_ctg921|provirus_684962_730295_CDS_0013	conserved	unknown function	default	default	0
SRR35809332_ctg1415|provirus_2264398_2309731_CDS_0014	SRR35809332_ctg1415|provirus_2264398_2309731	10710:10823:-1	CDS	hypothetical protein	SRR35808553_ctg921|provirus_684962_730295_CDS_0014	conserved	unknown function	default	default	0
SRR35809332_ctg1415|provirus_2264398_2309731_CDS_0015	SRR35809332_ctg1415|provirus_2264398_2309731	10820:11125:-1	CDS	hypothetical protein	SRR35808553_ctg921|provirus_684962_730295_CDS_0015	conserved	unknown function	default	default	0
SRR35809332_ctg1415|provirus_2264398_2309731_CDS_0016	SRR35809332_ctg1415|provirus_2264398_2309731	11125:11241:-1	CDS	hypothetical protein	SRR35808553_ctg921|provirus_684962_730295_CDS_0016	conserved	unknown function	default	default	0
SRR35809332_ctg1415|provirus_2264398_2309731_CDS_0017	SRR35809332_ctg1415|provirus_2264398_2309731	11238:11627:-1	CDS	hypothetical protein	SRR35808611_ctg442|provirus_4085068_4130200_CDS_0046	conserved	unknown function	default	default	0
SRR35809332_ctg1415|provirus_2264398_2309731_CDS_0018	SRR35809332_ctg1415|provirus_2264398_2309731	11624:11959:-1	CDS	hypothetical protein	SRR35808611_ctg442|provirus_4085068_4130200_CDS_0045	conserved	unknown function	default	default	0
SRR35809332_ctg1415|provirus_2264398_2309731_CDS_0019	SRR35809332_ctg1415|provirus_2264398_2309731	12256:12519:1	CDS	hypothetical protein	SRR35808611_ctg442|provirus_4085068_4130200_CDS_0044	conserved	unknown function	default	default	0
SRR35809332_ctg1415|provirus_2264398_2309731_CDS_0020	SRR35809332_ctg1415|provirus_2264398_2309731	12584:12811:-1	CDS	hypothetical protein	SRR35808611_ctg442|provirus_4085068_4130200_CDS_0043	conserved	unknown function	default	default	0
