#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	1	582	+	HNGIBB_00001	20.3	6.1	PF00742.24|Homoserine_dh, PF01842.31|ACT	PFAM:PF00742.24, PFAM:PF01842.31
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	1611	1970	+	HNGIBB_00003	12.1	8.6		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	3841	4050	-	HNGIBB_00005	7.5	9.3		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	5035	5364	-	HNGIBB_00009	11.4	5.3		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	5425	5568	-	HNGIBB_00010	4.6	10.3		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	8416	8955	+	HNGIBB_00014	18.1	5.0		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	9136	10068	+	HNGIBB_00016	34.1	5.6	PF13640.12|2OG-FeII_Oxy_3	PFAM:PF13640.12
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	12133	14556	+	HNGIBB_00018	88.5	4.3	PF00593.30|TonB_dep_Rec_b-barrel, PF07715.20|Plug	PFAM:PF00593.30, PFAM:PF07715.20
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	16241	16681	+	HNGIBB_00022	15.9	10.7		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	17889	18251	+	HNGIBB_00024	13.1	11.6		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	18248	18580	+	HNGIBB_00025	12.5	5.1	PF12680.13|SnoaL_2	PFAM:PF12680.13
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	19241	19495	+	HNGIBB_00027	8.9	11.6		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	20812	21165	+	HNGIBB_00029	13.0	6.5		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	21172	21477	+	HNGIBB_00030	10.9	6.1	PF03795.20|YCII	PFAM:PF03795.20
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	21541	21696	-	HNGIBB_00031	6.2	6.2		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	38405	39712	+	HNGIBB_00047	46.8	6.1	PF00005.33|ABC_tran, PF06271.18|RDD, PF13304.12|AAA_21	PFAM:PF00005.33, PFAM:PF06271.18, PFAM:PF13304.12
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	45892	47733	-	HNGIBB_00051	65.1	6.2	PF00561.26|Abhydrolase_1	PFAM:PF00561.26
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	70066	70632	-	HNGIBB_00073	18.5	4.1		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	72302	74293	-	HNGIBB_00075	70.9	5.1	PF13145.12|Rotamase_2, PF13623.11|SurA_N_2, PF13624.11|SurA_N_3	PFAM:PF13145.12, PFAM:PF13623.11, PFAM:PF13624.11
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	75231	75980	+	HNGIBB_00077	24.9	5.8		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	79245	79856	+	HNGIBB_00081	20.3	5.4	PF10988.14|DUF2807	PFAM:PF10988.14
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	79868	80485	+	HNGIBB_00082	21.1	5.2	PF10988.14|DUF2807	PFAM:PF10988.14
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	82567	83034	-	HNGIBB_00086	16.9	4.3		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	83625	83750	+	HNGIBB_00088	4.4	5.8		
SRR35809336_ctg8014_Candidatus_Viadribacter_manganicus_length=3616199_coverage=165.86_circular=yes	83793	84074	+	HNGIBB_00089	9.4	4.1		
