feature_id	locus_id	coordinates	feature_type	name	group	group_type	category	fill_colour	stroke_colour	show_label
SRR35808611_ctg514|provirus_397177_435424_CDS_0001	SRR35808611_ctg514|provirus_397177_435424	1:1221:1	CDS	hypothetical protein	SRR35808611_ctg514|provirus_397177_435424_CDS_0001	conserved	unknown function	default	default	0
SRR35808611_ctg514|provirus_397177_435424_CDS_0002	SRR35808611_ctg514|provirus_397177_435424	1377:1634:1	CDS	hypothetical protein	SRR35808611_ctg514|provirus_397177_435424_CDS_0002	conserved	unknown function	default	default	0
SRR35808611_ctg514|provirus_397177_435424_CDS_0003	SRR35808611_ctg514|provirus_397177_435424	1627:1911:1	CDS	hypothetical protein	SRR35808611_ctg514|provirus_397177_435424_CDS_0003	conserved	unknown function	default	default	0
SRR35808611_ctg514|provirus_397177_435424_CDS_0004	SRR35808611_ctg514|provirus_397177_435424	1904:2242:1	CDS	hypothetical protein	SRR35808611_ctg514|provirus_397177_435424_CDS_0004	conserved	unknown function	default	default	0
SRR35808611_ctg514|provirus_397177_435424_CDS_0005	SRR35808611_ctg514|provirus_397177_435424	2235:2468:1	CDS	hypothetical protein	SRR35808611_ctg514|provirus_397177_435424_CDS_0005	conserved	unknown function	default	default	0
SRR35808611_ctg514|provirus_397177_435424_CDS_0006	SRR35808611_ctg514|provirus_397177_435424	2452:2805:1	CDS	hypothetical protein	SRR35808611_ctg514|provirus_397177_435424_CDS_0006	conserved	unknown function	default	default	0
SRR35808611_ctg514|provirus_397177_435424_CDS_0007	SRR35808611_ctg514|provirus_397177_435424	2802:3095:1	CDS	hypothetical protein	SRR35808611_ctg514|provirus_397177_435424_CDS_0007	conserved	unknown function	default	default	0
SRR35808611_ctg514|provirus_397177_435424_CDS_0008	SRR35808611_ctg514|provirus_397177_435424	3197:4012:1	CDS	hypothetical protein	SRR35808611_ctg514|provirus_397177_435424_CDS_0008	conserved	unknown function	default	default	0
SRR35808611_ctg514|provirus_397177_435424_CDS_0009	SRR35808611_ctg514|provirus_397177_435424	4112:4318:1	CDS	hypothetical protein	SRR35808611_ctg514|provirus_397177_435424_CDS_0009	conserved	unknown function	default	default	0
SRR35808611_ctg514|provirus_397177_435424_CDS_0010	SRR35808611_ctg514|provirus_397177_435424	4315:5001:1	CDS	HNH endonuclease	SRR35808611_ctg514|provirus_397177_435424_CDS_0010	conserved	DNA, RNA and nucleotide metabolism	default	default	0
